product,observations,price_elasticity,r2,se,t_stat,p_value,ci_95_lower,ci_95_upper,bootstrap_lower,bootstrap_upper,avg_price,avg_demand,min_price,max_price
XPS 8920 Tower Desktop Computer,39,4.217096321865958,0.33675344497801807,0.9729580968125849,4.334304155216123,0.00010776080930194363,2.245695959261152,6.188496684470763,1.0723325044438599,6.588553010424915,937.5305128205127,6.128205128205129,746.99,1099.0
Lenovo - YOGA Wireless Optical Mouse - Black,39,4.226964534880178,0.7232695432603328,0.42983931278038057,9.83382489502508,7.230069887411572e-12,3.356027359010959,5.097901710749397,3.5699549896515945,5.174072211189066,56.84461538461537,6.384615384615385,42.94,69.99
"Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""",103,4.227155012687675,0.22489885901421802,0.7808597711629,5.413462402336798,4.1861049302548955e-07,2.678139275725924,5.776170749649426,2.7789537447220165,5.297250802841119,1790.5927184466018,5.563106796116505,1444.99,1999.99
"Lightning Charge and Sync Cable, Black",21,4.227563235496637,0.513707369811486,0.943635471477401,4.480080882162856,0.0002565240157955512,2.2525114951015546,6.20261497589172,-10.541700777382452,6.499287307312927,13.751904761904763,8.80952380952381,9.99,14.99
Sennheiser - HD 599 Over-the-Ear Headphones HD 5 - Brown/ivory/matte metallic,18,4.242556237487359,0.24199458596001366,1.8771585047227743,2.2600948331286044,0.03811415917411043,0.26315797584776,8.221954499126959,0.4010648056832259,7.663773225924925,229.37722222222223,7.111111111111111,181.31,249.95
Sony MDRXB950N1 Headphones Bluetooth Noise Cancel Extra Bass Blk MDR-XB950N1 #95,47,4.24625760177793,0.6634428517948199,0.4508454908472021,9.418432008266544,3.282995035008969e-12,3.3382081708009315,5.154307032754928,3.697499491234684,5.73835532512203,223.95212765957447,11.212765957446809,113.0,249.99
Sony - Travel Charger - Black,33,4.249614460459761,0.6186646656499715,0.5992313859450408,7.091775497970194,5.7478332266113744e-08,3.027473991322095,5.471754929597427,1.6263049843775095,5.549352490498381,36.080909090909095,13.06060606060606,24.99,39.99
XB550AP EXTRA BASS Headphones (Black),28,4.25339917141563,0.35174954260689595,1.1324110887487344,3.756055741308091,0.0008803808781894726,1.925694841846982,6.581103500984279,2.227180669520546,6.111208082493794,53.353571428571435,6.214285714285714,38.0,59.99
NETGEAR Nighthawk AC1900 VDSL/ADSL Modem Router Certified with CenturyLink - Non-bonded,14,4.273770119609133,0.12061773752335314,3.331223695608342,1.2829429993678838,0.22373756846600848,-2.9843428068611066,11.531883046079372,1.1820659813825818,11.454901384122104,240.06142857142848,5.857142857142857,218.99,249.99
"kate spade new york - Glitter Sleeve for 13 Apple® MacBook® - Rose Gold""",36,4.312744619552409,0.4583664035358467,0.8040085959268342,5.364052873813894,5.782353489820053e-06,2.678802565035852,5.946686674068966,1.4671435555097843,5.812506118332233,62.35111111111108,14.027777777777779,44.99,69.99
Metra - License Plate Back-Up Camera - Black,29,4.3170239945086175,0.7296184888833495,0.5057584651852738,8.535742437701302,3.7755905182184896e-09,3.2792933416732417,5.354754647343993,2.1242820376832325,5.53492662799918,71.30034482758619,11.0,41.99,79.99
