,name,"12 MacBook (Mid 2017, Gold) CPE","12 MacBook (Mid 2017, Silver) CPE",12.3 32GB Multi-Touch 2-in-1 Chromebook Plus CPE,"13.3 MacBook Air (Mid 2017, Silver) CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Silver) CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray) CPE",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X CPE,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray"" CPE",Acer 15.6 Chromebook CB5-571-C4G4 CPE,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver"" CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver"" CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray"" CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver"" CPE","Apple 13.3 MacBook Air ( Silver)"" CPE","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English"" CPE","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver"" CPE","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English"" CPE","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum"" CPE","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red"" CPE","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver"" CPE","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M"" CPE","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd"" CPE","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd"" CPE","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb"" CPE","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)"" CPE","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq"" CPE","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me..."" CPE","Details About Razer Blade Laptop 14 Full Hd (i77700hq"" CPE","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop"" CPE","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"" CPE","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10"" CPE","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue"" CPE","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS"" CPE","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1 CPE","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB"" CPE","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black"" CPE","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10"" CPE","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black"" CPE","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black"" CPE"
18,"Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""",-4.67,2.02,0.72,-4.69,24.86,8.14,-1.73,7.16,0.35,-7.33,-2.6,-3.98,-10.05,6.8,2.91,4.07,4.06,5.54,-1.27,-1.48,15.15,-10.31,-9.23,5.17,-1.99,-1.66,-2.42,-8.6,-0.55,2.13,2.48,1.37,-3.08,-1.15,2.5,-4.57,-0.85,-10.41,-4.53
19,"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""",-10.62,-9.77,-3.94,2.22,-53.56,-35.3,2.0,-16.48,-1.99,-12.22,-9.51,-10.2,-33.5,-24.54,-26.23,-19.45,-36.52,-13.95,-25.64,-16.0,-19.3,-4.15,-14.77,-21.92,-5.75,1.1,-12.55,-22.28,-1.11,-12.78,-5.97,-2.51,-10.19,-4.72,-5.17,-38.21,-16.7,-84.55,-12.53
20,"Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""",No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,2.89,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,-0.44,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective
21,"Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""",24.78,16.17,0.88,11.6,2.03,-0.65,3.79,-5.2,-0.41,10.08,16.93,16.54,28.6,-9.3,-3.84,-7.96,-3.51,9.12,2.24,-1.81,5.64,2.72,0.02,4.55,-0.09,5.93,0.35,-2.54,-0.01,2.48,-2.08,0.46,-1.83,-1.28,0.09,2.91,-6.7,22.07,2.48
22,"Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""",-13.03,-16.17,-1.35,-2.22,-15.82,-12.13,-1.17,-2.82,-0.5,-16.49,-12.11,-12.43,-17.78,-5.94,-4.35,-4.24,-12.12,-5.01,1.94,-3.38,-5.35,-23.35,-8.77,-3.31,-1.58,-2.9,-4.72,-9.58,0.62,-7.45,-2.15,-0.76,-1.36,-2.09,-1.49,-24.09,-3.39,-37.48,-0.19
23,"Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""",1.77,-9.77,-2.23,-18.76,15.82,8.43,-2.95,3.47,-1.54,2.44,-10.29,-8.83,10.05,4.7,1.48,0.35,4.21,2.68,3.75,1.15,0.89,2.72,-5.23,-2.28,0.54,-1.66,-7.02,-5.67,-0.87,3.9,4.7,-2.05,1.62,-2.22,-1.01,15.78,8.47,53.73,4.86
24,"Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""",0.48,-9.77,1.27,0.25,2.03,0.22,-0.0,7.37,1.83,-8.25,-6.64,-6.09,-16.49,7.09,7.57,7.96,3.86,13.95,-3.2,11.38,2.67,2.01,4.92,-13.86,3.76,4.0,6.1,12.7,-1.16,0.1,3.29,0.33,9.67,-2.16,1.4,7.89,15.08,11.66,-0.52
25,"Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""",28.64,23.92,4.54,14.32,-1.58,-5.23,4.17,-0.87,0.02,24.13,23.57,21.76,26.54,-9.3,2.76,-0.88,-2.97,4.29,1.39,-6.68,0.18,-6.73,2.61,13.24,0.27,5.38,1.96,-12.7,0.98,2.25,-2.21,2.53,-9.15,2.83,1.52,-16.2,-18.31,-7.08,-2.91
26,"Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""",-8.37,-6.4,-1.15,-11.35,8.81,-4.5,-0.89,3.9,-0.63,-14.97,-11.72,-10.07,-8.5,2.11,2.97,2.3,-3.41,-0.1,0.91,-3.63,-0.3,-10.17,-1.85,-12.62,-1.95,-6.48,-2.19,-4.49,0.65,-3.31,1.01,-0.87,-4.65,-2.09,-0.42,-11.63,-1.36,-5.41,1.52
27,"Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""",8.85,3.37,2.07,12.34,-11.75,5.67,1.22,-2.6,1.58,11.3,13.15,11.69,14.17,-2.88,-4.55,3.36,4.6,-6.44,-1.45,4.78,-10.39,16.9,10.0,14.48,4.53,5.1,6.33,11.33,0.14,0.95,-0.27,0.57,6.38,2.49,-0.45,11.63,1.19,2.5,-3.33
28,"Details About Razer Blade Laptop 14 Full Hd (i77700hq""",-3.06,-1.01,-0.08,-2.47,4.07,1.45,-1.06,0.43,-0.06,-3.05,-1.95,-2.36,-2.58,2.3,-1.07,1.77,0.45,-8.94,-0.54,-2.97,-1.19,-2.29,-3.08,2.07,-1.27,-5.93,-2.42,-2.93,0.43,-1.06,-2.01,-0.13,-2.46,1.89,0.57,-6.65,-3.98,-17.49,-2.0
29,"Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""",No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective,No Effective
